진단지역,ID,그룹,Data No.,유형,Category 1 type,Category 2 type,등록일시,위도,경도,대분류,중분류,질문_Num,질문_기준,질문_내용,점수,리뷰,이미지경로
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,5,포용성,"건축물 계단은 리프트, 점자블럭, 점자, 자전거 이동 레일 등 누구나 이동하기 편하도록 지원하나요?",3,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
범일초등학교,parksr926,1,4430,2,2,2,2025.03.25 08:27:25,35.1277577,129.0929269,공공건축물,계단,6,심미성,건축물의 계단은 심미적으로 주변 환경이나 인테리어와 조화를 이루도록 디자인 되었나요?,4,Rtfgrrt efffdddhyffguyg,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/4430_parksr926_20250325_93_105
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,1,접근성,광장은 개방성을 확보하고 보행가로 및 주변 건축물에서 접근하기 편리한가요?,1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,2,이동성,광장은 적절한 바닥마감재료의 상태와 장애물 없이 보행자들이 이동하기에 편안한가요?,1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,3,안전성,"광장은 미끄럼, 추락, 경로이탈 등으로 인한 보행의 위험을 방지할 수 있도록 구성되었나요?",1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,4,정보제공성,광장은 편의시설 활용과 관련하여 통합적 안내시스템이 구축되었나요? ,1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,5,포용성,"광장은 어린이, 노인, 장애인 등의 사회적 약자와 보호자가 함께 이용할 수 있도록 구성되었나요? ",1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,parksr926,1,2016,2,2,2,2024.09.10 09:55:26,35.4088469,129.2926843,광장,광장,6,심미성,광장은 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,1,ㅗ노오어ㅓ어어어어어어어어어어어어어ㅓ어어,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2016_57_240910_92_102
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,1,접근성,버스 승차대는 개방성을 확보하고 보행가로 및 주변 건축물에서 접근하기 편리한가요?,4,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,2,이동성,"버스 승차대 주변은 장애물을 최소화하고, 대기중인 승객들이 이동하기에 편안한가요?",4,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,3,안전성,"버스 승차대는 미끄럼, 차량 경로이탈 등으로 인한 위험을 방지할 수 있도록 구성되었나요?",5,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,4,정보제공성,"버스 승차대는 버스노선, 운행정보와 관련하여 통합적 안내시스템을 제공하나요? ",1,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,5,포용성,버스 승차대는 장애인 등의 교통약자의 사용을 지원하기 위한 시설(음성안내 등)을 제공하고 있나요?,1,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2015,2,2,2,2024.08.30 08:36:07,35.1398743,129.051181,도로 (공공시설물),버스 승차대,6,심미성,버스 승차대는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,1,야간에도 볼 수 있게끔 야광으로 표시,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2015_136_240830_94_109
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,1,접근성,횡단보도의 진입부는 위치 확인이 쉽고 접근하기 편리한가요?,3,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,2,이동성,"횡단보도는 보행장애물, 파손, 시설물 등에 의해 방해받지 않고 이동하기 편리한가요?",4,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,3,안전성,횡단보도는 대기  보행자 보호를 위해 운전자의 눈에 잘 띄면서 차량진입은 불가능한 안전한 구조인가요?,3,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,4,정보제공성,횡단보도 신호등에 시간표시기가 설치되었는가요?,1,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,5,포용성,횡단보도는 양단 진입부에 점자블록 등 교통약자를 위한 시설을 충분하게 갖추었나요?,4,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2014,2,2,2,2024.08.30 08:34:41,35.1398643,129.0511961,보도 (공공공간),횡단보도,6,심미성,횡단보도를 구성하는 시설물과 마감재는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,5,어린이보호구역이라고바닥에 표시했으면 좋겠다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2014_136_240830_91_101
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2013,2,2,2,2024.08.30 08:33:44,35.139581,129.0509413,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,3,도보 폭이 너무 좁아서 불편하다 늘려야함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2013_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,4,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,2,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,1,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,5,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2012,2,2,2,2024.08.30 08:31:22,35.1395905,129.0508614,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,2,도보 폭이 너무 좁아서 늘려야한다고 생각,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2012_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2011,2,2,2,2024.08.30 08:30:11,35.1398153,129.0509819,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,3,바닥 또는 표지판에 정문이라는 걸 표시해야 응급상황시 알 수 있을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2011_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,2,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,3,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,2,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,3,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2010,2,2,2,2024.08.30 08:29:03,35.1397114,129.0506808,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,3,중심선에 led 표시등을 설치하면 좋을 거 같다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2010_136_240830_91_98
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,1,접근성,횡단보도의 진입부는 위치 확인이 쉽고 접근하기 편리한가요?,4,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,2,이동성,"횡단보도는 보행장애물, 파손, 시설물 등에 의해 방해받지 않고 이동하기 편리한가요?",4,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,3,안전성,횡단보도는 대기  보행자 보호를 위해 운전자의 눈에 잘 띄면서 차량진입은 불가능한 안전한 구조인가요?,4,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,4,정보제공성,횡단보도 신호등에 시간표시기가 설치되었는가요?,5,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,5,포용성,횡단보도는 양단 진입부에 점자블록 등 교통약자를 위한 시설을 충분하게 갖추었나요?,3,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2009,2,2,2,2024.08.30 08:27:56,35.1398576,129.0506575,보도 (공공공간),횡단보도,6,심미성,횡단보도를 구성하는 시설물과 마감재는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,5,노란 삼각존을 표시하는 게 너무 날카로움,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2009_136_240830_91_101
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,3,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,2,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,2,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,4,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2008,2,2,2,2024.08.30 08:26:46,35.1398668,129.0501272,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,1,매끈하게 해서 울퉁불퉁한 단차를 없앤다,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2008_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,1,접근성,보행로는 시설물이나 차량진입로 등으로 인해 단절되지 않고 접근하기 편리한가요?,3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,2,이동성,보행로는 보행이동 동선 상에 마감재 포장 등으로 인한 단차가 없이 이동하기 편안한가요?,3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,3,안전성,보행로는 안전하고 편안하게 통행할 수 있나요?,3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,4,정보제공성,"보행구역은 마감재 색상, 질감 등으로 명확하게 구분되었나요?",3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,5,포용성,보행로는 사회적 교통약자(휠체어) 및 장애인을 위한 시설(점자블록)이 적절하게 설치되었나요?,3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2007,2,2,2,2024.08.30 08:25:50,35.1397702,129.0503451,보도 (공공공간),보도,6,심미성,보행로는 심미적으로 주변 환경과 조화를 이루도록 디자인 되었나요?,3,펜스에 있는 장식나무 조각들이 떨어질려고 함,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2007_136_240830_91_98
범일초등학교,minji5749,1,2006,2,2,2,2024.08.30 08:25:06,35.1398242,129.0502812,도로 (공공시설물),보호펜스,1,접근성,보호펜스는 추락과 충돌 등 보행자 보호가 필요한 위치에 설치되었나요?,4,동부 경찰서에서 주관하나 전화번호가 기재되어있지 않아서 불편,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2006_136_240830_94_108
범일초등학교,minji5749,1,2006,2,2,2,2024.08.30 08:25:06,35.1398242,129.0502812,도로 (공공시설물),보호펜스,2,이동성,보호펜스는 보행자 및 자전거 차량의 이동을 효과적으로 방지하고 있나요?,3,동부 경찰서에서 주관하나 전화번호가 기재되어있지 않아서 불편,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2006_136_240830_94_108
범일초등학교,minji5749,1,2006,2,2,2,2024.08.30 08:25:06,35.1398242,129.0502812,도로 (공공시설물),보호펜스,3,안전성,"보호펜스의 지지대와 연결부위는 충격에 견고하게 설치되었으며, 부재의 마감처리는 안전하게 완료되었나요?",2,동부 경찰서에서 주관하나 전화번호가 기재되어있지 않아서 불편,https://tndl-nextchain.s3.ap-northeast-2.amazonaws.com/2006_136_240830_94_108
